,Unnamed: 0,Unnamed: 0.1,Timestamp,Open,High,Low,Close,Volume,24m Volume RA,24m Close Price RA
526,526,2019-01-18 19:17:00+00:00,2019-01-18 19:17:00+00:00,6.089e-05,6.099e-05,6.011e-05,6.071e-05,120,84.95833333333333,6.169999999999995e-05
527,527,2019-01-18 19:18:00+00:00,2019-01-18 19:18:00+00:00,6.087e-05,6.12e-05,6.012e-05,6.075e-05,95,86.29166666666669,6.165458333333329e-05
528,528,2019-01-18 19:19:00+00:00,2019-01-18 19:19:00+00:00,6.073e-05,6.104e-05,6.018e-05,6.102e-05,85,86.91666666666669,6.161791666666662e-05
529,529,2019-01-18 19:20:00+00:00,2019-01-18 19:20:00+00:00,6.1e-05,6.108e-05,6.07e-05,6.1e-05,65,83.75,6.160208333333329e-05
530,530,2019-01-18 19:21:00+00:00,2019-01-18 19:21:00+00:00,6.089e-05,6.132e-05,6.066e-05,6.122e-05,91,85.125,6.157541666666663e-05
531,531,2019-01-18 19:22:00+00:00,2019-01-18 19:22:00+00:00,6.131e-05,6.139e-05,6.085e-05,6.134e-05,70,85.58333333333333,6.157166666666664e-05
532,532,2019-01-18 19:23:00+00:00,2019-01-18 19:23:00+00:00,6.134e-05,6.139e-05,6.134e-05,6.139e-05,49,84.25,6.156749999999997e-05
533,533,2019-01-18 19:24:00+00:00,2019-01-18 19:24:00+00:00,6.14e-05,6.14e-05,6.062e-05,6.1e-05,69,85.04166666666667,6.155499999999996e-05
534,534,2019-01-18 19:25:00+00:00,2019-01-18 19:25:00+00:00,6.085e-05,6.119e-05,6.085e-05,6.092e-05,69,86.29166666666669,6.15295833333333e-05
535,535,2019-01-18 19:26:00+00:00,2019-01-18 19:26:00+00:00,6.089e-05,6.13e-05,6.088e-05,6.123e-05,55,86.08333333333331,6.151374999999996e-05
536,536,2019-01-18 19:27:00+00:00,2019-01-18 19:27:00+00:00,6.119e-05,6.124e-05,6.1e-05,6.101e-05,30,86.20833333333331,6.14783333333333e-05
537,537,2019-01-18 19:28:00+00:00,2019-01-18 19:28:00+00:00,6.101e-05,6.11e-05,6.088e-05,6.105e-05,37,84.29166666666667,6.144041666666663e-05
538,538,2019-01-18 19:29:00+00:00,2019-01-18 19:29:00+00:00,6.107e-05,6.107e-05,6.09e-05,6.09e-05,31,80.08333333333333,6.139541666666663e-05
